Lon Lat HF
18.823300 40.521700 48.000000
18.733300 41.100000 84.000000
18.708300 41.350000 104.000000
20.066700 39.700000 35.000000
20.166700 39.816700 2.000000
20.100000 39.883300 25.000000
20.050000 39.900000 32.000000
20.050000 39.916700 6.000000
20.050000 39.916700 44.000000
20.133300 39.933300 7.000000
20.133300 39.933300 23.000000
19.900000 39.983300 28.000000
20.200000 40.150000 3.000000
19.750000 40.350000 28.000000
20.083300 40.350000 21.000000
19.700000 40.400000 23.000000
19.750000 40.400000 32.000000
19.750000 40.400000 23.000000
19.750000 40.400000 29.000000
19.650000 40.433300 28.000000
19.550000 40.450000 8.500000
19.550000 40.450000 13.000000
19.550000 40.450000 21.000000
19.400000 40.533300 29.000000
19.666700 40.533300 30.000000
19.733300 40.550000 31.000000
19.800000 40.566700 28.000000
19.716700 40.583300 32.000000
19.733300 40.583300 31.000000
19.533300 40.633300 35.000000
19.400000 40.700000 15.000000
19.400000 40.700000 28.000000
19.666700 40.716700 32.000000
19.666700 40.750000 40.000000
19.650000 40.766700 32.000000
20.000000 40.783300 28.000000
19.633300 40.800000 32.000000
19.633300 40.800000 28.000000
19.983300 40.816700 36.000000
19.433300 40.833300 31.000000
19.700000 40.866700 34.000000
20.000000 40.883300 56.000000
20.133300 40.950000 27.000000
19.616700 40.966700 36.500000
19.600000 40.966700 34.000000
19.800000 40.983300 30.000000
20.000000 41.033300 56.000000
19.550000 41.066700 24.000000
19.533300 41.116700 32.000000
19.516700 41.150000 32.000000
19.350000 41.316700 38.000000
19.883300 41.333300 21.000000
19.683300 41.500000 27.000000
20.000000 41.716700 28.000000
19.766700 41.766700 29.000000
20.250000 42.050000 67.000000
20.516700 42.116700 13.000000
20.483300 42.216700 45.000000
20.066700 39.883300 4.500000
20.616700 40.500000 93.500000
20.150000 40.533300 33.000000
19.600000 40.950000 38.000000
20.266700 41.333300 20.000000
20.216700 41.450000 34.200000
19.466700 42.033300 6.000000
19.766700 42.083300 19.500000
19.750000 42.566700 8.400000
18.700000 41.300000 104.000000
18.700000 41.100000 84.000000
2.738300 32.841700 71.000000
7.786700 28.068300 88.000000
3.088300 32.441700 75.000000
3.526700 32.355000 75.000000
8.338300 28.900000 74.000000
3.006700 31.950000 89.000000
9.040000 28.711700 62.000000
6.330000 29.741700 84.000000
-0.191700 31.168300 75.000000
6.515000 28.316700 101.000000
1.816700 31.880000 80.000000
5.656700 30.985000 78.000000
7.291700 31.021700 77.000000
5.543300 29.125000 64.000000
4.540000 32.975000 73.000000
6.383300 22.050000 38.000000
6.383300 22.050000 35.000000
0.218300 28.188300 98.000000
0.141700 28.175000 106.000000
8.126700 35.220000 76.000000
-0.391700 35.163300 103.000000
3.761700 32.895000 91.000000
2.450000 32.481700 68.000000
2.441700 32.505000 66.000000
4.748300 32.548300 68.000000
5.616700 29.323300 90.000000
5.468300 29.561700 84.000000
-0.401700 25.106700 82.000000
8.650000 32.028300 67.000000
6.266700 28.448300 112.000000
3.991700 32.778300 70.000000
3.166700 32.733300 76.000000
3.235000 36.218300 101.000000
9.116700 27.566700 105.000000
8.115000 34.905000 76.000000
2.955000 33.066700 88.000000
2.298300 31.176700 81.000000
5.426700 33.020000 68.000000
4.368300 28.953300 49.000000
2.998300 32.631700 73.000000
2.983300 32.651700 74.000000
3.461700 30.258300 80.000000
3.966700 32.503300 64.000000
-0.900000 27.400000 65.000000
6.231700 29.905000 76.000000
2.760000 35.340000 74.000000
3.985000 31.421700 72.000000
6.543300 29.490000 67.000000
6.241700 30.825000 84.000000
2.200000 26.600000 111.000000
6.785000 29.848300 77.000000
5.016700 31.385000 71.000000
9.060000 32.018300 84.000000
5.593300 32.543300 61.000000
6.321700 29.256700 68.000000
6.365000 26.896700 93.000000
-1.710000 31.523300 88.000000
9.511700 28.838300 78.000000
2.150000 30.025000 88.000000
8.575000 29.231700 80.000000
2.115000 30.390000 88.000000
8.040000 34.621700 81.000000
4.770000 31.553300 80.000000
3.530000 32.631700 75.000000
2.883300 27.883300 113.000000
5.211700 31.943300 64.000000
2.720000 35.785000 90.000000
7.355000 34.928300 89.000000
7.645000 27.825000 90.000000
9.535000 29.325000 83.000000
2.426700 30.063300 108.000000
8.506700 30.140000 72.000000
3.936700 26.476700 105.000000
4.361700 31.003300 71.000000
0.793300 31.685000 66.000000
4.916700 31.495000 66.000000
4.991700 32.206700 64.000000
5.548300 32.390000 74.000000
4.343300 28.188300 72.000000
5.225000 30.076700 79.000000
5.193300 30.586700 68.000000
4.703300 34.615000 61.000000
1.821700 32.433300 94.000000
2.626700 27.456700 89.000000
6.865000 32.885000 73.000000
2.555000 30.465000 106.000000
9.735000 27.630000 108.000000
6.441700 29.288300 80.000000
6.458300 29.236700 83.000000
3.273300 32.933300 79.000000
3.135000 32.885000 82.000000
3.146700 33.040000 88.000000
3.511700 33.035000 94.000000
5.850000 32.205000 69.000000
3.198300 32.485000 75.000000
7.495000 35.225000 108.000000
-8.565000 27.375000 74.000000
1.501700 28.451700 109.000000
8.826700 28.836700 80.000000
8.816700 28.816700 74.000000
6.500000 28.250000 68.000000
-6.265000 29.028300 129.000000
8.716700 26.611700 96.000000
6.183300 21.008300 38.000000
6.191700 21.008300 39.000000
7.806700 27.490000 105.000000
8.671700 28.131700 65.000000
2.503300 27.190000 109.000000
-0.058300 27.016700 70.000000
2.246700 29.030000 78.000000
2.200000 29.108300 91.000000
2.150000 29.116700 94.000000
2.183300 29.083300 84.000000
2.216700 29.100000 90.000000
2.605000 25.958300 101.000000
1.550000 29.666700 78.000000
0.498300 28.183300 105.000000
-0.463300 26.846700 62.000000
7.771700 34.716700 80.000000
5.493300 31.168300 76.000000
7.296700 31.485000 76.000000
3.088300 32.441700 83.000000
4.338300 33.526700 71.000000
4.378300 33.278300 83.000000
-1.468300 31.110000 93.000000
3.403300 28.493300 95.000000
7.816700 34.416700 62.000000
6.536700 29.360000 84.000000
6.070000 31.673300 89.000000
1.875000 25.330000 120.000000
2.680000 32.376700 63.000000
2.840000 26.281700 83.000000
2.733300 26.150000 95.000000
0.855000 29.090000 101.000000
1.310000 26.541700 105.000000
5.333300 28.833300 104.000000
3.326700 33.486700 77.000000
-1.570000 31.193300 107.000000
5.500000 20.833300 65.000000
5.500000 20.833300 64.000000
7.800000 28.800000 89.000000
1.788300 34.936700 75.000000
-1.485000 31.456700 99.000000
-1.441700 31.521700 98.000000
-1.521700 31.421700 80.000000
-0.266700 30.620000 69.000000
-7.383300 28.483300 68.000000
1.498300 26.323300 130.000000
2.526700 29.966700 83.000000
0.138300 28.450000 109.000000
9.091700 29.373300 81.000000
5.045000 31.798300 73.000000
6.200000 28.600000 84.000000
4.870000 32.795000 78.000000
3.680000 33.236700 79.000000
0.555000 31.390000 72.000000
0.380000 31.431700 76.000000
5.696700 32.211700 71.000000
2.963300 29.643300 101.000000
