Lon,Lat,HF [mW/m2],HF_min [mW/m2],HF_max [mW/m2],HF_max_abs [mW/m2]
-180.0,-90.0,60.873999999999995,59.098,60.873999999999995,1.776
-180.0,-89.5,63.888999999999996,57.61600000000001,66.085,8.469
-120.0,-89.5,62.518,56.34,68.12899999999999,11.789000000000001
-60.0,-89.5,56.416000000000004,44.06100000000001,62.217,18.156
0.0,-89.5,63.12,51.158,65.207,14.049000000000001
60.0,-89.5,62.83,52.052,64.791,12.739
120.0,-89.5,66.274,58.076,66.274,8.198
180.0,-89.5,63.888999999999996,57.61600000000001,66.085,8.469
-180.0,-89.0,62.431999999999995,58.845,67.268,8.423
-152.308,-89.0,63.748999999999995,57.486000000000004,69.64699999999999,12.161
-124.615,-89.0,65.97800000000001,60.677,65.97800000000001,5.301
-96.92299999999999,-89.0,63.826,57.641000000000005,65.223,7.582000000000001
-69.23100000000001,-89.0,61.049,47.224,62.917,15.693
-41.538000000000004,-89.0,56.05,40.872,61.082,20.21
-13.845999999999998,-89.0,59.446000000000005,39.284,66.102,26.818
13.845999999999998,-89.0,59.475,39.16,63.861999999999995,24.701999999999998
41.538000000000004,-89.0,62.321000000000005,51.663999999999994,62.321000000000005,10.657
69.23100000000001,-89.0,65.673,57.808,65.673,7.865
96.92299999999999,-89.0,63.277,55.354,63.277,7.922999999999999
124.615,-89.0,63.903999999999996,54.646,63.903999999999996,9.258
152.308,-89.0,61.075,59.637,67.762,8.125
180.0,-89.0,62.431999999999995,58.845,67.268,8.423
-180.0,-88.5,60.451,55.428000000000004,63.29,7.862
-161.053,-88.5,60.278,55.882,61.431000000000004,5.5489999999999995
-142.105,-88.5,61.129,56.763000000000005,62.736999999999995,5.974
-123.15799999999999,-88.5,63.24,58.068999999999996,64.249,6.18
-104.211,-88.5,68.155,64.205,68.155,3.95
-85.26299999999999,-88.5,71.378,58.427,71.566,13.139000000000001
-66.316,-88.5,62.053999999999995,50.482,68.308,17.826
-47.368,-88.5,56.864,47.135,64.315,17.18
-28.421,-88.5,57.887,44.949,62.985,18.035999999999998
-9.474,-88.5,57.169,39.125,61.648999999999994,22.524
9.474,-88.5,55.012,39.695,61.518,21.823
28.421,-88.5,54.108000000000004,39.766,61.597,21.831
47.368,-88.5,62.788999999999994,54.379,62.788999999999994,8.41
66.316,-88.5,64.07300000000001,57.216,64.07300000000001,6.857
